plot,rep,ent,cultivar name,yld1,yld2,yld3,tot22,,,
218,2,1,Guardsman II,2.16,2.06,1.56,5.78,,,
219,2,14,SW315 LH,2.08,1.66,1.36,5.1,,,
220,2,21,Seedway 9558,2.33,2.11,1.75,6.18,,,
221,2,11,Lightning Bolt,1.94,2.1,1.35,5.39,,,
222,2,34,Persist III,2.1,2.04,1.49,5.63,,,
223,2,24,Ezra,2.11,2,1.57,5.67,,,
224,2,25,AmeriStand 427 TQ,1.72,1.76,1.22,4.71,,,
225,2,2,Regen,2.24,1.94,1.64,5.82,,,
226,2,20,Rebound 6XT,1.69,1.66,1.21,4.56,,,
227,2,13,SW4107,1.99,1.89,1.3,5.18,,,
228,2,32,FSG 421LH,1.6,1.62,1.13,4.34,,,
229,2,19,55V50,2.06,2.09,1.4,5.55,,,
230,2,23,Oneida Ultra,1.74,1.74,1.37,4.85,,,
231,2,7,N-R-Gee,1.75,1.83,1.31,4.89,,,
232,2,35,FSG 415BR,1.99,1.97,1.48,5.44,,,
233,2,9,NY2003,2.08,1.58,1.18,4.84,,,
234,2,15,NY0651,2.01,1.76,1.43,5.2,,,
235,2,26,NY1517,2.21,1.48,1.18,4.88,,,
236,2,8,SW3407,2.23,1.85,1.28,5.36,,,
237,2,33,AlfaBar,2.2,1.84,1.29,5.33,,,
238,2,12,SW5210,1.99,1.76,1.24,5,,,
239,2,3,Seedway 9558 SBR,1.56,1.35,1.07,3.97,,,
240,2,5,WL 349HQ,1.91,1.88,1.2,4.99,,,
241,2,10,Algonquin,1.64,1.5,1.23,4.36,,,
242,2,29,Pluss III,1.84,1.93,1.11,4.88,,,
243,2,17,SW4602Z,1.86,1.84,1.17,4.87,,,
244,2,31,NY0465,2.04,1.97,1.59,5.6,,,
245,2,4,Vernal,1.95,1.64,1.33,4.91,,,
246,2,36,NY1615,2.4,1.89,1.35,5.63,,,
247,2,28,NY1614,2.22,1.76,1.4,5.38,,,
248,2,30,Hi-Gest 360,1.92,1.87,1.25,5.03,,,
313,3,4,Vernal,1.88,1.85,1.38,5.11,,,
314,3,10,Algonquin,1.76,1.78,1.35,4.89,,,
315,3,2,Regen,2.33,2.01,1.53,5.86,,,
316,3,5,WL 349HQ,1.82,1.95,1.22,4.99,,,
317,3,5,WL 349HQ,1.83,1.79,1.14,4.75,,,
318,3,8,SW3407,2.27,1.97,1.16,5.4,,,
319,3,7,N-R-Gee,1.77,1.79,1.14,4.7,,,
320,3,15,NY0651,1.94,1.79,1.27,4.99,,,
321,3,13,SW4107,1.89,1.91,1.15,4.96,,,
322,3,30,Hi-Gest 360,1.7,1.83,1.21,4.75,,,
323,3,11,Lightning Bolt,1.86,1.9,1.29,5.05,,,
324,3,16,WL 358LH,1.54,1.74,1.11,4.39,,,
325,3,17,SW4602Z,1.78,1.71,1.19,4.68,,,
326,3,3,Seedway 9558 SBR,1.77,1.54,1.29,4.6,,,
327,3,34,Persist III,2.15,1.88,1.28,5.3,,,
328,3,27,Lander,2.04,1.79,1.45,5.28,,,
329,3,14,SW315 LH,1.77,1.3,1.13,4.2,,,
330,3,28,NY1614,1.93,1.53,1.43,4.88,,,
331,3,36,NY1615,1.78,1.45,1.37,4.6,,,
332,3,29,Pluss III,1.8,1.76,1.08,4.64,,,
333,3,31,NY0465,1.9,1.89,1.45,5.24,,,
334,3,23,Oneida Ultra,1.76,1.79,1.31,4.86,,,
335,3,1,Guardsman II,2.13,2.13,1.33,5.59,,,
336,3,22,SW4412Y,2,2.06,1.15,5.22,,,
337,3,25,AmeriStand 427 TQ,1.74,1.65,1.03,4.42,,,
338,3,18,Oneida VR,2.02,1.66,1.43,5.11,,,
339,3,21,Seedway 9558,1.65,1.55,1.23,4.44,,,
340,3,6,SW5606,1.88,1.81,1.27,4.96,,,
341,3,19,55V50,1.93,1.91,1.2,5.05,,,
342,3,24,Ezra,1.94,1.81,1.4,5.16,,,
343,3,35,FSG 415BR,2.05,1.95,1.33,5.32,,,
344,3,32,FSG 421LH,1.69,1.7,1.27,4.65,,,
345,3,9,NY2003,2.1,1.78,1.27,5.15,,,
346,3,33,AlfaBar,2.37,2.19,1.48,6.04,,,
347,3,26,NY1517,2.24,1.6,1.33,5.17,,,
348,3,12,SW5210,2.04,1.75,1.29,5.08,,,
413,4,35,FSG 415BR,1.79,1.88,1.53,5.2,,,
414,4,23,Oneida Ultra,1.67,1.76,1.46,4.89,,,
415,4,8,SW3407,1.81,1.92,1.36,5.1,,,
416,4,34,Persist III,1.96,2,1.46,5.42,,,
417,4,12,SW5210,1.8,1.81,1.42,5.03,,,
418,4,17,SW4602Z,1.64,1.69,1.24,4.58,,,
419,4,28,NY1614,1.78,1.59,1.43,4.8,,,
420,4,25,AmeriStand 427 TQ,1.73,1.77,1.23,4.74,,,
421,4,16,WL 358LH,1.53,1.51,1.15,4.19,,,
422,4,19,55V50,2.02,1.87,1.51,5.41,,,
423,4,4,Vernal,1.47,1.42,1.32,4.21,,,
424,4,3,Seedway 9558 SBR,1.88,1.65,1.35,4.88,,,
425,4,15,NY0651,1.63,1.71,1.53,4.87,,,
426,4,9,NY2003,1.48,1.51,1.29,4.28,,,
427,4,31,NY0465,1.68,1.62,1.62,4.93,,,
428,4,36,NY1615,1.92,1.51,1.49,4.92,,,
429,4,24,Ezra,2.07,1.61,1.5,5.18,,,
430,4,5,WL 349HQ,1.78,1.61,1.27,4.66,,,
431,4,33,AlfaBar,2.05,1.75,1.46,5.26,,,
432,4,5,WL 349HQ,1.65,1.6,1.27,4.52,,,
433,4,6,SW5606,1.63,1.55,1.22,4.39,,,
434,4,22,SW4412Y,1.91,1.76,1.41,5.07,,,
435,4,11,Lightning Bolt,1.69,1.67,1.31,4.68,,,
436,4,13,SW4107,1.9,1.84,1.27,5.01,,,
437,4,10,Algonquin,1.53,1.48,1.21,4.21,,,
438,4,26,NY1517,2.3,1.73,1.37,5.39,,,
439,4,32,FSG 421LH,1.7,1.57,1.1,4.38,,,
440,4,2,Regen,2.23,1.9,1.49,5.62,,,
441,4,27,Lander,1.89,1.78,1.35,5.02,,,
442,4,14,SW315 LH,2.1,1.65,1.26,5.01,,,
443,4,29,Pluss III,1.92,1.88,1.11,4.91,,,
444,4,30,Hi-Gest 360,1.91,1.72,1.27,4.89,,,
445,4,7,N-R-Gee,1.81,1.87,1.26,4.95,,,
446,4,21,Seedway 9558,2.08,2.05,1.44,5.56,,,
447,4,1,Guardsman II,1.93,1.87,1.33,5.14,,,
448,4,18,Oneida VR,2.17,1.89,1.28,5.34,,,
