"","Row","Range","Plot","Rep","Entry","yld2","yld3","yld4","yld5","yld6"
"85",11,5,384,3,50,10.1,9,0.85,4.95,3.95
"86",11,6,385,3,50,10.3,9.55,1.5,4.9,3.85
"87",11,7,386,4,50,10.45,10.2,1.85,6.2,4.2
"88",11,8,387,4,50,9.6,9.4,2.05,6.35,3.9
"89",12,8,388,4,16,9.25,8.7,1.45,6.65,3.75
"90",12,7,389,4,10,10.2,11.3,2,6.8,5.1
"91",12,6,390,3,10,10.65,11.45,1.75,6.35,5
"92",12,5,391,3,6,8.65,8.65,1.15,5.65,4.35
"93",12,4,392,2,3,8.5,9.2,1.25,5.6,4.65
"94",12,3,393,2,5,9.05,9.3,1.2,5.55,4.05
"95",12,2,394,1,9,8.95,9,1.2,4.8,4.15
"96",12,1,395,1,12,8.4,7.4,0.2,3.25,2.8
"97",13,1,396,1,11,8.55,6.95,0.4,3.1,2.6
"98",13,2,397,1,21,9.45,9.5,1.3,6.4,5.05
"99",13,3,398,2,17,9,9.15,1.15,5.15,4.5
"100",13,4,399,2,22,8.85,8.6,1.3,5.6,4.55
"101",13,5,400,3,2,8.75,8.3,0.8,5.05,3.65
"102",13,6,401,3,18,10.1,11,2.15,6.5,5.05
"103",13,7,402,4,24,11.7,11.8,2,7.3,5.2
"104",13,8,403,4,21,10.15,10.15,1.8,7.65,5.15
"105",14,8,404,4,50,10.05,8.75,1.4,6.2,3.85
"106",14,7,405,4,50,8.75,8.35,1.5,5.2,4
"107",14,6,406,3,50,8.3,8.2,1.2,5.1,3.5
"108",14,5,407,3,50,8.4,7.75,1,5.1,3.6
"109",14,4,408,2,50,7.9,6.9,0.6,4.65,3.7
"110",14,3,409,2,50,8.05,7.5,1,4.95,3.7
"111",14,2,410,1,50,8.5,7.7,0.55,4.5,3.75
"112",14,1,411,1,50,8.85,6.8,0.45,4.5,3.75
"113",15,1,412,1,13,7.25,5.55,0.05,2.05,2.2
"114",15,2,413,1,5,8.65,8,0.65,4.45,3.75
"115",15,3,414,2,4,7.45,7.3,1,4.6,4
"116",15,4,415,2,19,7.85,7.6,0.8,4.9,3.6
"117",15,5,416,3,7,8,8.45,1.15,5.9,4.25
"118",15,6,417,3,21,8.9,9.25,1.65,6.2,5.05
"119",15,7,418,4,17,8.6,8.8,1.6,5.95,4.45
"120",15,8,419,4,9,7.8,8,1.5,5.65,4
"121",16,8,420,4,4,8.2,8.6,1.8,6.05,4.35
"122",16,7,421,4,13,6.45,5.85,0.55,3.35,1.85
"123",16,6,422,3,8,8.75,8.8,1.55,5.85,3.95
"124",16,5,423,3,5,8.85,8.5,1.2,5.15,3.8
"125",16,4,424,2,11,7.75,7,0.65,3.85,2.8
"126",16,3,425,2,14,8.8,8,0.7,4.75,3.7
"127",16,2,426,1,22,9.2,7.9,0.6,4.7,4.05
"128",16,1,427,1,6,7.8,6.05,0.2,3.25,3.3
"129",17,1,428,1,50,10.95,6.75,0.2,3.35,3.5
"130",17,2,429,1,50,9.5,6.85,0.35,3.8,3.65
"131",17,3,430,2,50,9.4,7.9,0.8,4.95,3.55
"132",17,4,431,2,50,9.9,8.3,0.75,5.2,3.5
"133",17,5,432,3,50,10.35,9.3,1.7,6,4.3
"134",17,6,433,3,50,9.25,8.45,1.45,5.65,4.05
"135",17,7,434,4,50,9.45,8.1,1.35,4.85,3.85
"136",17,8,435,4,50,9.2,8.4,1.65,5.25,3.7
"137",18,8,436,4,5,9.95,8.65,1.45,5.7,4.1
"138",18,7,437,4,20,7.8,7.35,1.2,4.9,3.9
"139",18,6,438,3,9,7.95,7.85,1.4,5.35,3.95
"140",18,5,439,3,12,8.1,7.9,1,4.85,2.5
"141",18,4,440,2,16,9.1,7.75,1.05,5.05,3.45
"142",18,3,441,2,21,9.35,8.05,0.7,5.95,4.5
"143",18,2,442,1,4,9.05,6.85,0.7,4.15,3.65
"144",18,1,443,1,19,11.1,7.6,0.55,3.25,3.4
